Region,Country,Division,Unique Locations,Population Size,Area size (sqm),Year ,Source
N. America,USA,Wisconsin,Ozaukee County,88597,233,2019,census.gov
N. America,USA,Wisconsin,Pepin County,7265,231.9,2019,census.gov
N. America,USA,Wisconsin,Racine County,195602,332.4,2019,census.gov
N. America,USA,Wisconsin,Rock County,162152,718,2019,census.gov
N. America,USA,Wisconsin,Sauk County,63922,831.3,2019,census.gov
N. America,USA,Wisconsin,Sheboygan County,115178,511.1,2019,census.gov
N. America,USA,Wisconsin,Trempealeau County,29499,732.8,2019,census.gov
N. America,USA,Wisconsin,Vernon County,30633,791.3,2019,census.gov
N. America,USA,Wisconsin,Vilas County,21751,857.5,2019,census.gov
N. America,USA,Wisconsin,Walworth County,103074,555.1,2019,census.gov
N. America,USA,Wisconsin,Washington County WI,134925,430.5,2019,census.gov
N. America,USA,Wisconsin,Waukesha County,400475,549.5,2019,census.gov
N. America,USA,Wisconsin,Winnebago County WI,170411,434.4,2019,census.gov
Oceania,Australia,New South Wales,Sydney,4926000,,2020,UN - World Population Prospects
Oceania,Australia,Victoria,Melbourne,506100,,2020,UN - World Population Prospects
Oceania,New Zealand,Auckland,Counties Manukau,563210,,2018,health.govt.nz
Oceania,New Zealand,Auckland,Waitemata,628970,,2019,health.govt.nz
S. America,Argentina,Buenos Aires,Moreno,533292,,2019,citypopulation.de
S. America,Argentina,Buenos Aires,Quilmes,657123,,2019,citypopulation.de
S. America,Argentina,Chaco,Resistencia,291720,,2010,Argentina 2010 National Census
S. America,Argentina,Tierra del Fuego,Ushuaia,56956,,2010,Argentina 2010 National Census
S. America,Brazil,Amazonas BR,Manaus,2400646,,2021,population.city
S. America,Brazil,Paraiba,Joao Pessoa,878084,,2021,population.city
S. America,Brazil,Pernambuco,Olinda,396077,,2021,population.city
S. America,Brazil,Pernambuco,Recife,1717992,,2021,population.city
S. America,Brazil,Rio de Janeiro,Marica,170576,,2021,population.city
S. America,Brazil,Rio de Janeiro,Niteroi,507892,,2021,population.city
S. America,Brazil,Rio de Janeiro,Rio de Janeiro,6669154,,2021,population.city
S. America,Brazil,Rio Grande do Sul,Canoas BR,363610,,2021,population.city
S. America,Brazil,Rio Grande do Sul,Esteio,87913,,2021,population.city
S. America,Brazil,Rio Grande do Sul,Garibaldi,32212,,2021,population.city
S. America,Brazil,Rio Grande do Sul,Porto Alegre,1562176,,2021,population.city
S. America,Brazil,Rio Grande do Sul,Taquara,50141,,2021,population.city
S. America,Brazil,São Paulo,Campinas,1251643,,2021,population.city
S. America,Brazil,São Paulo,Diadema,446422,,2021,population.city
S. America,Brazil,São Paulo,Ribeirao Preto,746512,,2021,population.city
S. America,Brazil,São Paulo,Sao Bernardo do Campo,868493,,2021,population.city
S. America,Brazil,São Paulo,São Paulo,12769276,,2021,population.city
S. America,Brazil,Sergipe,Aracaju,715478,,2021,population.city
S. America,Chile,Araucanía ,Temuco,351493,,2021,population.city
S. America,Chile,Atacama,Copiapo,194416,,2021,population.city
S. America,Chile,Biobío ,Concepcion CL,868544,,2021,population.city
S. America,Chile,Los Lagos,Puerto Montt,261894,,2021,population.city
S. America,Chile,Magallanes,Porvenir,6062,,2017,citypopulation.de
S. America,Chile,Magallanes,Punta Arenas,135321,,2021,population.city
S. America,Chile,Ñuble ,Chillán,207426,,2021,population.city
S. America,Chile,Region Metropolitana de Santiago,Santiago,7115310,,2021,population.city
S. America,Colombia,Antioquia,Medellin,2599097,,2021,population.city
S. America,Colombia,Atlantico,Barranquilla,1248100,,2021,population.city
S. America,Colombia,Valle del Cauca,Cali,2523925,,2021,population.city
S. America,Ecuador,Guayas,Guayaquil,2696657,,2021,population.city
S. America,Ecuador,Imbabura,Otavalo,52753,,2021,population.city
S. America,Ecuador,Pichincha,Quito,1904973,,2021,population.city
S. America,Peru,Amazonas PE,Chachapoyas,34024,,2021,population.city
S. America,Peru,Callao,Callao,1129854,,2020,citypopulation.de
S. America,Peru,Lima,Lima,10850101,,2021,population.city
